id_comercio,nit,nombre,tipo_comercio
1,900123,tienda don jose,tienda
2,900456,EXITO,supermercado
3,900789,starbucks,cafe
4,900321,McDonalds,restaurante
5,900654, ,supermercado
6,,ara,supermercado
7,900987,D1,tienda
8,900741,oxxo,tienda
9,900852,justo y bueno,supermercado
10,900963,Carulla,supermercado
11,900741,oxxo,tienda
12,900159,tienda la esquina,tienda
13,900753,STARBUCKS,cafe
14, ,d1,tienda
15,900951,Ara,supermercado
16,900357,mc donalds,restaurante
17,900258,Burger King,restaurante
18,900654, , 
19,,exito,supermercado
20,900456,exito,supermercado
21,900888,tienda barrio,tienda
22,900999,cafe juan,cafe
23,900000,,tienda
24, , , 
25,901111,olimpica,supermercado
26,901222,metro,transporte
27,901333,taxi libre,transporte
28,901444,uber,transporte
