id_gasto,id_usuario,id_pago,id_comercio,id_categoria,descripcion,fecha,valor
1,1,1,1,1,cafe,2024-01-01,$5000
2,2,2,2,1,mercado,2024-01-02,$45000
3,3,1,3,3,cafe starbucks,2024-01-02,$12000
4,4,3,4,1,almuerzo,2024-01-03,$15000
5,5,1,2,1,mercado grande,2024-01-04,$120000
6,6,2,1,1,cafe,2024-01-04,$3000
7,7,4,3,3,capuccino,2024-01-05,$13000
8,8,1,7,2,bus,2024-01-05,$2500
9,9,5,8,1,tienda,2024-01-06,$4000
10,1,1,3,3,cafe,2024-01-06,$11000
11,2,2,2,1,mercado,,$50000
12,3,1,3,3,,2024-01-07,$10000
13,4,3,4,1,almuerzo,2024-01-07,
14,5,1,2,1,mercado,$2024-01-08,$80000
15,6,2,1,1,cafe,2024-01-08,3000
