id_pago,nombre,franquicia,estado
1,tarjeta credito,visa,activo
2, Tarjeta Debito ,mastercard,activo
3,efectivo,,activo
4,nequi,nequi,inactivo
5,daviplata ,davivienda,activo
6,,visa,activo
7,tarjeta credito,VISA,
8,efectivo, ,activo
9,tarjeta credito,visa,activo
10,tarjeta debito,mastercard,inactivo
11,efectivo, ,activo
12,nequi,NEQUI,activo
13,daviplata,davivienda,
14, ,visa,activo
15,tarjeta credito,visa,ACTIVO
16,efectivo,, 
17,transferencia,bancolombia,activo
18,pse,pse,activo
19,tarjeta debito, ,inactivo
20,efectivo, ,activo
21,crypto,bitcoin,activo
22,tarjeta credito,mastercard,activo
23,, , 
24,nequi, ,inactivo
25,daviplata,davivienda,activo
26,tarjeta credito,VISA,activo
27,efectivo, ,activo
28,transferencia,,activo
